,GSM818563,GSM818564,GSM818565,GSM818566,GSM818567,GSM818568,GSM818569,GSM818570,GSM818571,GSM818572,GSM818573,GSM818574,GSM818575,GSM818576,GSM818577,GSM818578,GSM818579,GSM818580,GSM818581,GSM818582
TMEM54,0.066108285,0.08388895,0.4302686,0.168524765,0.07047336,0.029378221,0.027393502,0.08502264,0.03756097,0.07713611,0.057794505,0.010935251,0.02781867,0,0.07574714,0.04385114,0.104986152,0.082329325,0,0.049255795
SCLY,81.88767,49.391225,0,31.05013,36.839815,51.28139,51.28139,30.01698,26.706575,20.9516055,22.561114,38.59679,40.782765,95.471195,31.05013,25.99311,23.1369475,27.877785,32.827305,47.08267
TMEM52,0,0.08731291,0,0.017138049,0.039620465,0.014985469,0,0,0.002283886,0,0,0.07242647,0.001241333,0.023865152,0.022843896,0,0.002743662,0,0.028411656,0.018814964
TMEM53,0,0,0,0,0,0,0,0,0,0,0,0,0.015103024,0.014132016,0,0,0,0,0.001513722,0
TMEM51,0,0,0,0,1.86E-05,0,0,0,0,0,0,0,0.000774025,0.005313979,0.013011712,0,0.005796446,0,0.001823642,0
MGC15885,0.111892445,0.03476057,0.9080243,0.031469015,0.134445935,0.16397214,0.07585346,0.164236145,0.124007385,0.129173945,0.071250365,0.11180184,0.07117074,0.54824945,0.030649715,0.136898305,0.081374315,0.09601949,0.08502264,0.21590734
TBC1D8B,0,0,0,0,0,0.003317457,0,0,0,0,0,0.003475881,0,0,0,0,0,0,0,0
FAM84B,0,0,0,0,0,0.000882551,0,0.001100886,0.001544621,0.007521643,0,0.002428646,0.001438954,0.000621059,0,0.009091451,0,0,0,0
FAM84A,0,0,0,0,0.000113309,0,0,0.002106291,0,0.001074516,0,0,0,6.34E-05,0.004041144,0,0,0,0,0
ZNF677,0,0,0,0,0.017842356,0.024677645,0.03348213,0.021431154,0.010486338,0.038935275,0.004400867,0.026431978,0.035318685,0.044756505,0.0073759,0.009366646,0.018514634,0.011742465,0.044121,0.05497169
ZNF676,0,0.039620465,0,0.032227665,0.083027325,0.081374315,0.060154415,0.020938677,0.024306708,0.024336034,0.02098683,0.012257513,0.007022591,0.000573473,0.034747495,0.007277595,0.016784336,0,0.028251896,0.013134599
ZNF675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000248198,0,0,0,0,0,0
ZNF674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF672,0,0,0,0,0,0,0,0,0,0.000536074,0,0.006238081,0,0.000572306,0.004299941,0,0.003112176,0,0,0
ZNF671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF670,0,0,0.108852365,0.008145841,0.011366777,0.001371692,0.017880069,0.019201149,0.014146551,0.006579089,0.006803733,0.012519432,0.004446334,0.02524685,0,0.028845352,0.004677813,0.015564056,0.01101484,0.01344853
